IPO Name,Listing Date,Allotment Price (INR),Listing Return (%),IPO Price,Listing Returns (%),1 Week Returns (%),4 Week Returns (%),6 Week Returns (%),IPO Price (INR),IPO Company
Apeejay Surrendra Park Hotels,2/12/2024,155,31.32,,,,,,,
BLS E-Services,2/6/2024,135,171.11,,,,,,,
Nova Agri,1/31/2024,41,40.85,,,,,,,
EPACK Durable,1/30/2024,230,-9.74,,,,,,,
Medi Assist Healthcare,1/23/2024,418,11.03,,,,,,,
Jyoti CNC,1/16/2024,331,31.18,,,,,,,
Innova Captab,12/29/2023,448,20.85,,,,,,,
Azad Engineering,12/28/2023,524,29.29,,,,,,,
Happy Forgings,12/27/2023,850,21.27,,,,,,,
RBZ Jewellers,12/27/2023,100,5.00,,,,,,,
Credo Brands,12/27/2023,280,11.50,,,,,,,
Suraj Estate,12/26/2023,360,(7.08),,,,,,,
Muthoot Microfin,12/26/2023,291,(8.54),,,,,,,
Motisons Jewellers,12/26/2023,55,88.27,,,,,,,
INOX India,12/21/2023,660,42.42,,,,,,,
DOMS Industries,12/20/2023,790,67.85,,,,,,,
India Shelter Finance,12/20/2023,493,10.49,,,,,,,
Flair Writing,12/1/2023,304,48.32,,,,,,,
Tata Technologies,11/30/2023,500,162.60,,,,,,,
Gandhar Oil,11/30/2023,169,78.34,,,,,,,
FedFina,11/30/2023,140,0.18,,,,,,,
IREDA,11/29/2023,32,87.50,,,,,,,
ASK Automotive,11/15/2023,282,9.96,,,,,,,
Protean eGov,11/13/2023,792,11.49,,,,,,,
ESAF Bank,11/10/2023,60,15.08,,,,,,,
Mamaearth,11/7/2023,324,4.04,,,,,,,
Cello World,11/6/2023,648,22.18,,,,,,,
Blue Jet Healthcare,11/1/2023,346,19.48,,,,,,,
IRM Energy,10/26/2023,505,(6.31),,,,,,,
Plaza Wires,10/13/2023,54,48.52,,,,,,,
Valiant Laboratories,10/6/2023,140,21.61,,,,,,,
Updater Services,10/4/2023,300,(5.37),,,,,,,
JSW Infra,10/3/2023,119,32.18,,,,,,,
Manoj Vaibhav Gems,10/3/2023,215,0.23,,,,,,,
Yatra Online,9/28/2023,142,(4.30),,,,,,,
Signature Global,9/27/2023,385,19.10,,,,,,,
Sai Silks,9/27/2023,222,10.32,,,,,,,
Zaggle Prepaid,9/22/2023,164,(3.45),,,,,,,
Samhi Hotels,9/22/2023,126,13.81,,,,,,,
EMS Limited,9/21/2023,211,32.65,,,,,,,
RR Kabel,9/20/2023,"1,035",15.75,,,,,,,
Jupiter Life Line Hospitals,9/18/2023,735,46.36,,,,,,,
Ratnaveer Precision Engineering,9/11/2023,98,31.99,,,,,,,
Rishabh Instruments,9/11/2023,441,0.49,,,,,,,
Vishnu Prakash Punglia,9/5/2023,99,47.17,,,,,,,
Aeroflex Industries,8/31/2023,108,51.16,,,,,,,
Pyramid Technoplast,8/29/2023,166,7.02,,,,,,,
TVS Supply Chain,8/23/2023,197,2.03,,,,,,,
Concord Biotech,8/18/2023,741,27.23,,,,,,,
SBFC Finance,8/16/2023,57,61.75,,,,,,,
Yatharth Hospital,8/7/2023,300,11.28,,,,,,,
Netweb Technologies,7/27/2023,500,82.08,,,,,,,
Utkarsh Small Finance Bank,7/21/2023,25,92.00,,,,,,,
Senco Gold,7/14/2023,317,27.85,,,,,,,
Cyient DLM,7/10/2023,265,58.72,,,,,,,
IdeaForge,7/7/2023,672,92.70,,,,,,,
