company,listing_date,listing_year,listing_month,issue_price,issue_amount_cr,is_mainboard,qib_x,nii_x,retail_x,total_x,listing_gain_pct
SME,2026-01-07,2026.0,1.0,35.04,78.84,0,702.57,337.84,0.0,263.37,171.09
SME,2026-06-02,2026.0,6.0,41.66,0.0,0,0.0,9.54,1.75,5.64,108.95
