ipo_name,listing_date,listing_year,listing_month,issue_price,issue_amount_cr,lot_size,pe_ratio,qib_x,nii_x,retail_x,total_x,gmp,gmp_percent,issue_category,listing_gain_pct,is_mainboard
Innova Captab,2023-12-29,2023,12,448,570.0,33.0,31.64,75.06,41.08,8.62,34.56,32.0,7.14,IPO,20.85,1
Azad Engineering,2023-12-28,2023,12,524,740.0,28.0,292.74,179.64,90.24,24.51,83.04,195.0,37.21,IPO,29.29,1
RBZ Jewellers,2023-12-27,2023,12,100,100.0,150.0,13.77,13.43,9.27,24.74,16.86,0.0,0.0,IPO,5.0,1
Happy Forgings,2023-12-27,2023,12,850,1008.59,17.0,36.45,214.65,63.45,15.4,82.63,235.0,27.65,IPO,21.27,1
Motisons Jewellers,2023-12-26,2023,12,55,151.09,250.0,17.59,135.01,311.99,135.6,173.23,70.0,127.27,IPO,88.27,1
INOX India,2023-12-21,2023,12,660,1459.32,22.0,39.22,147.8,53.2,15.3,61.28,440.0,66.67,IPO,42.42,1
India Shelter Finance,2023-12-20,2023,12,493,1200.0,30.0,28.22,94.29,29.97,10.46,38.59,157.0,31.85,IPO,10.49,1
Flair Writing,2023-12-01,2023,12,304,593.0,49.0,23.36,122.02,35.23,13.73,49.28,150.0,49.34,IPO,48.32,1
Tata Technologies,2023-11-30,2023,11,500,3042.51,30.0,32.53,203.41,62.11,16.5,69.43,475.0,95.0,IPO,162.6,1
IREDA,2023-11-29,2023,11,32,2150.21,460.0,8.47,104.57,24.16,7.73,38.8,12.0,37.5,IPO,87.5,1
ASK Automotive,2023-11-15,2023,11,282,833.91,53.0,45.63,142.41,35.47,5.7,51.14,28.0,9.93,IPO,9.96,1
Cello World,2023-11-06,2023,11,648,1900.0,23.0,,122.2,25.65,3.21,41.69,160.0,24.69,IPO,22.18,1
Blue Jet Healthcare,2023-11-01,2023,11,346,840.27,43.0,37.49,13.72,13.59,2.24,7.95,22.0,6.36,IPO,19.48,1
Plaza Wires,2023-10-13,2023,10,54,71.28,277.0,21.95,42.84,388.09,374.81,160.97,23.0,42.59,IPO,48.52,1
Valiant Laboratories,2023-10-06,2023,10,140,152.46,105.0,15.71,20.83,73.64,16.06,29.76,20.0,14.29,IPO,21.61,1
Manoj Vaibhav Gems,2023-10-03,2023,10,215,270.2,69.0,11.74,1.08,5.4,1.73,2.33,0.0,0.0,IPO,0.23,1
Samhi Hotels,2023-09-22,2023,9,126,1370.1,119.0,,9.18,1.29,1.17,5.57,8.0,6.35,IPO,13.81,1
EMS Limited,2023-09-21,2023,9,211,321.25,70.0,,149.98,84.39,30.55,76.21,88.0,41.71,IPO,32.65,1
Rishabh Instruments,2023-09-11,2023,9,441,490.78,34.0,,72.54,31.29,8.44,31.65,61.0,13.83,IPO,0.49,1
Ratnaveer Precision Engineering,2023-09-11,2023,9,98,165.03,150.0,,133.05,135.21,54.0,93.99,52.0,53.06,IPO,31.99,1
Aeroflex Industries,2023-08-31,2023,8,108,351.0,130.0,40.91,194.73,126.13,34.41,97.11,71.0,65.74,IPO,51.16,1
Pyramid Technoplast,2023-08-29,2023,8,166,153.05,90.0,16.21,9.94,32.24,14.72,18.29,22.0,13.25,IPO,7.02,1
TVS Supply Chain,2023-08-23,2023,8,197,880.0,76.0,189.42,1.37,2.44,7.89,2.85,3.0,1.52,IPO,2.03,1
Concord Biotech,2023-08-18,2023,8,741,1550.52,20.0,32.29,67.67,16.99,3.78,24.87,122.0,16.46,IPO,27.23,1
SBFC Finance,2023-08-16,2023,8,57,1025.0,260.0,40.42,203.61,51.82,11.6,74.06,26.0,45.61,IPO,61.75,1
Yatharth Hospital,2023-08-07,2023,8,300,686.55,50.0,39.16,86.37,38.62,8.66,37.28,75.0,25.0,IPO,11.28,1
Senco Gold,2023-07-14,2023,7,317,405.0,47.0,15.53,190.56,68.44,16.28,77.25,103.0,32.49,IPO,27.85,1
Cyient DLM,2023-07-10,2023,7,265,592.0,56.0,66.25,95.87,47.75,52.17,71.35,135.0,50.94,IPO,58.72,1
IKIO Lighting,2023-06-16,2023,6,285,606.5,52.0,32.13,163.06,65.38,14.31,67.75,90.0,31.58,IPO,41.7,1
Mankind Pharma,2023-05-09,2023,5,1080,4326.36,13.0,32.5,49.16,3.8,0.92,15.32,121.0,11.2,IPO,31.69,1
Global Surfaces,2023-03-23,2023,3,140,154.98,100.0,21.84,8.95,33.1,5.12,12.21,18.0,12.86,IPO,22.18,1
Sah Polymers,2023-01-12,2023,1,65,66.3,230.0,33.51,2.4,32.69,39.78,17.46,10.0,15.38,IPO,37.31,1
Radiant Cash Management,2023-01-04,2023,1,99,256.64,150.0,17.34,0.16,0.03,0.13,0.12,6.0,6.06,IPO,5.96,1
Elin Electronics,2022-12-30,2022,12,247,475.0,60.0,29.69,4.51,3.29,2.2,3.09,4.0,1.62,IPO,-7.8,1
KFin Technologies,2022-12-29,2022,12,366,1500.0,40.0,35.92,4.17,0.23,1.36,2.59,-3.0,-0.82,IPO,-0.6,1
Abans Holdings,2022-12-23,2022,12,270,345.6,55.0,18.96,4.1,1.48,0.4,1.1,3.0,1.11,IPO,-19.1,1
Landmark Cars,2022-12-23,2022,12,506,552.0,29.0,27.61,8.71,1.32,0.59,3.06,-15.0,-2.96,IPO,-9.4,1
Sula Vineyards,2022-12-22,2022,12,357,960.35,42.0,49.24,4.13,1.51,1.65,2.33,-15.0,-4.2,IPO,-7.2,1
Dharmaj Crop Guard,2022-12-08,2022,12,237,251.09,60.0,14.55,48.21,52.29,21.53,35.49,38.0,16.03,IPO,12.4,1
Keystone Realtors,2022-11-24,2022,11,541,635.0,27.0,365.54,3.84,3.03,0.53,2.01,-5.0,-0.92,IPO,2.9,1
Inox Green Energy,2022-11-23,2022,11,65,740.0,230.0,-327.0,1.05,0.47,4.7,1.55,-1.0,-1.54,IPO,-9.1,1
Global Health,2022-11-16,2022,11,336,2205.57,44.0,38.36,28.64,4.02,0.88,9.58,30.0,8.93,IPO,23.6,1
DCX Systems,2022-11-11,2022,11,207,500.0,72.0,90.0,84.32,43.97,61.77,69.79,75.0,36.23,IPO,49.0,1
Tracxn Technologies,2022-10-20,2022,10,80,309.38,185.0,240.0,1.66,0.8,4.87,2.01,-1.0,-1.25,IPO,16.6,1
Tamilnad Mercantile Bank,2022-09-15,2022,9,510,807.84,28.0,9.22,1.62,2.94,6.48,2.86,14.0,2.67,IPO,-0.1,1
DreamFolks Services,2022-09-06,2022,9,326,562.1,46.0,104.82,70.53,37.66,43.66,56.68,148.0,45.4,IPO,41.8,1
Aether Industries,2022-06-03,2022,6,642,808.04,23.0,72.3,17.57,2.52,1.14,6.26,55.0,8.57,IPO,20.6,1
eMudhra,2022-06-01,2022,6,256,412.79,58.0,49.42,4.05,1.28,2.61,2.72,0.0,1.0,IPO,0.7,1
Ethos,2022-05-30,2022,5,878,402.26,17.0,96.0,1.06,1.48,0.84,1.04,-5.0,-0.57,IPO,-8.5,1
Paradeep Phosphates,2022-05-27,2022,5,42,1501.73,350.0,7.07,3.01,0.82,1.37,1.75,0.0,1.0,IPO,4.5,1
Delhivery,2022-05-24,2022,5,487,5235.0,30.0,-67.3,2.24,0.04,0.49,1.31,-10.0,-2.05,IPO,10.1,1
Prudent Corporate Advisory,2022-05-20,2022,5,630,428.28,23.0,33.94,1.26,0.99,1.29,1.22,18.0,2.86,IPO,-10.8,1
Campus Activewear,2022-05-09,2022,5,292,1399.77,51.0,78.49,152.04,22.25,7.68,51.75,40.0,13.7,IPO,29.8,1
Veranda Learning,2022-04-11,2022,4,137,200.0,100.0,,2.02,3.87,10.76,3.53,15.0,10.95,IPO,-4.2,1
Ruchi Soya,2022-04-08,2022,4,650,4300.0,21.0,30.86,2.2,11.75,0.9,3.6,140.0,21.54,IPO,42.1,1
Uma Exports,2022-04-07,2022,4,68,60.0,220.0,12.81,2.81,2.22,10.11,7.67,0.0,10.7,IPO,17.4,1
Vedant Fashions,2022-02-16,2022,2,866,3149.19,17.0,106.78,7.49,1.07,0.39,2.57,-12.0,-1.39,IPO,7.8,1
Adani Wilmar,2022-02-08,2022,2,230,3600.0,65.0,44.66,5.73,56.3,3.92,17.37,23.0,10.0,IPO,16.6,1
